State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
MA	1001	33	586.4704325	210.7901895		
MA	1002	30	479.4855385	269.995653		
MA	1005	5	42.0939475	22.523886		
MA	1007	13	212.5627225	104.596674		
MA	1010	2	10.9450695	3.671514		
MA	1011	1	42.4	28.05		
MA	1013	14	198.033394	105.374643		
MA	1020	37	614.6556075	349.305715		
MA	1027	23	296.213204	152.095514		
MA	1028	21	303.404907	147.5435635		
MA	1029	1	2.475	2.475		
MA	1030	11	160.4454505	63.019799		
MA	1032	1	0.563079	0.563079		
MA	1033	3	29.5479205	12.343914		
MA	1034	2	16.5	9.231486		
MA	1035	20	472.7899975	284.055453		
MA	1036	9	118.165492	69.664386		
MA	1038	4	41.4875095	17.5726485	1	4402.6155
MA	1039	2	19.5	11.629596		
MA	1040	46	1220.163496	833.521301		
MA	1054	2	11.872	2.7087225		
MA	1056	20	293.8309485	110.563332		
MA	1057	8	101.7936045	68.7747555		
MA	1060	34	492.717605	226.0951385		
MA	1062	8	80.3259685	49.248573		
MA	1068	1	1.696	0.762465		
MA	1069	11	156.1060185	61.5705255		
MA	1072	2	28.832	11.6637345		
MA	1073	7	51.136	9.273198		
MA	1074	1	2.1557415	2.1557415		
MA	1075	15	200.2026505	76.247199		
MA	1077	10	106.450611	41.737047		
MA	1080	1	11.872	1.4395095		
MA	1082	13	168.194146	84.9857745		
MA	1083	1	11.872	1.4395095		
MA	1085	38	739.0241885	450.232146		
MA	1088	2	22.372	3.747711		
MA	1089	40	672.6830315	366.533133		
MA	1095	27	350.84088	138.7845855		
MA	1096	2	4.406391	4.406391		
MA	1103	29	442.407007	227.419797		
MA	1104	27	681.197796	172.8724425		
MA	1105	10	194.4275095	62.241828		
MA	1106	17	249.485274	127.4231765		
MA	1107	7	96.999012	37.437873		
MA	1108	37	495.2484635	210.8128605		
MA	1109	20	187.0795415	64.0407645		
MA	1115	3	15.264	4.071903		
MA	1118	10	128.797243	44.7636915		
MA	1119	19	348.342522	194.4263255		
MA	1128	7	189.7086225	161.198292		
MA	1129	8	341.7915095	223.6250955		
MA	1144	1	5.3540025	5.3540025		
MA	1151	8	94.5078005	33.7915215		
MA	1201	68	1105.543886	622.086246		
MA	1220	7	102.6703225	50.4405		
MA	1223	1	1.3064865	1.3064865		
MA	1225	4	56.4492885	18.2012985		
MA	1226	6	81.4301845	32.0099835		
MA	1230	24	307.013732	181.4367275		
MA	1237	4	82.447344	44.423544		
MA	1238	15	242.2625785	142.9921695		
MA	1240	19	307.272725	190.213539		
MA	1247	25	331.017784	188.6445345		
MA	1253	2	23.8187675	16.42278		
MA	1257	2	62.752	24.887742		
MA	1262	1	9.540597	9.540597		
MA	1267	22	375.878543	213.876753		
MA	1301	25	343.101068	175.5617865		
MA	1331	14	217.3955375	105.713843		
MA	1337	7	82.2501605	28.8382875		
MA	1338	1	13.568	2.49084		
MA	1339	1	11.872	7.2673425		
MA	1340	1	11.872	6.392628		
MA	1343	1	2.423718	2.423718		
MA	1351	2	27.136	9.802551		
MA	1354	2	35.94	16.292628		
MA	1364	7	88.2582595	50.806932		
MA	1366	2	27.136	6.3439365		
MA	1370	4	64.448	19.602957		
MA	1373	6	78.404486	53.80452		
MA	1375	7	94.9409055	54.2643255		
