Year,Naics,State,bread,dairy,dry,meat,prepared,produce,excess_high_lbs,excess_low_lbs,excess_fac_cnt
2018,Caterers,AK,25,37,81,63,313,51,764348,298453,36
2018,Caterers,AL,187,279,615,478,2385,389,5080187,2268033,212
2018,Caterers,AR,111,166,366,284,1419,231,2369076,1060134,95
2018,Caterers,AZ,530,792,1741,1354,6757,1101,11087986,4290133,480
2018,Caterers,CA,6840,10219,22472,17475,18510824,14211,88978698,46515199,2887
2018,Caterers,CO,589,880,1935,1505,7508,1224,11389335,5244687,457
2018,Caterers,CT,898,1341,2950,2294,2429880,1866,10472682,5134245,426
2018,Caterers,DE,47,70,153,119,595,97,1756967,632715,74
2018,Caterers,FL,1412,2109,4638,3607,17996,2933,66639819,28071934,2864
2018,Caterers,GA,760,1136,2498,1943,9693,1580,25295019,8775003,1110
2018,Caterers,HI,152,227,499,388,1934,315,4599795,2778078,116
2018,Caterers,IA,121,182,399,310,1549,252,5565514,1740769,155
2018,Caterers,ID,62,92,203,158,788,128,1465648,550027,81
2018,Caterers,IL,2230,3332,7328,5699,28433,4634,28176421,14767870,861
2018,Caterers,IN,646,965,2121,1650,8231,1342,9785798,3999187,411
2018,Caterers,KS,143,213,469,365,1821,297,3440670,1672872,127
2018,Caterers,KY,277,414,911,708,3534,576,19739785,4556551,229
2018,Caterers,LA,447,668,1469,1142,5699,929,18655108,7460052,591
2018,Caterers,MA,2041,3049,6704,5214,5522455,4240,14555882,7964528,454
2018,Caterers,MD,1338,1999,4396,3419,3621392,2780,15485158,7090650,602
2018,Caterers,ME,120,180,395,308,1534,250,1213492,585631,59
2018,Caterers,MI,1428,2133,4691,3648,18201,2966,15610805,6566685,591
2018,Caterers,MN,661,987,2170,1688,8421,1373,10303788,4284078,327
2018,Caterers,MO,737,1102,2422,1884,9399,1532,10763513,4431143,341
2018,Caterers,MS,73,109,240,186,930,152,4026153,1918372,131
2018,Caterers,MT,44,65,144,112,559,91,1499369,629829,64
2018,Caterers,NC,622,930,2045,1590,7935,1293,17922135,7809060,651
2018,Caterers,ND,25,38,83,65,323,53,1541410,506087,54
2018,Caterers,NE,155,231,509,396,1975,322,2955462,1354155,104
2018,Caterers,NH,92,137,302,235,1173,191,1988879,851516,67
2018,Caterers,NJ,2334,3487,7669,5963,6316796,4850,27371777,13621748,903
2018,Caterers,NM,70,105,231,180,896,146,2590668,991919,111
2018,Caterers,NV,148,220,485,377,1881,307,5743028,3895677,146
2018,Caterers,NY,5345,7986,17562,13657,14466230,11106,47169378,24306582,1787
2018,Caterers,OH,1247,1863,4096,3185,15893,2590,18088788,8714725,644
2018,Caterers,OK,249,372,818,636,3172,517,4937381,1552484,180
2018,Caterers,OR,489,731,1608,1251,1324646,1017,7264647,3465731,291
2018,Caterers,PA,1386,2071,4555,3542,17673,2881,27309995,11558788,1163
2018,Caterers,RI,226,338,744,579,612862,471,2288991,1074809,77
2018,Caterers,SC,418,625,1374,1068,5331,869,6323908,2793712,271
