prepared_predicted,prediction_level,per_month,Naics_orig,State_orig,excess_low_lbs_orig,excess_high_lbs_orig,Name,Naics,Address,City,County,State,zip
60617,High,5051,Limited-Service Restaurants,KS,2972,18000,105 Pizza LLC,Limited-Service Restaurants,10540 S Ridgeview Rd,Olathe,Johnson,KS,66061
60617,High,5051,Limited-Service Restaurants,KS,20435,33000,126 Pizza LLC,Limited-Service Restaurants,11111 W 95th St Ste 252,Overland Park,Johnson,KS,66214
60617,High,5051,Limited-Service Restaurants,KS,12317,24000,133 Coffee LLC,Limited-Service Restaurants,1109 Dearborn St,Baldwin City,Douglas,KS,66006
60617,High,5051,Limited-Service Restaurants,KS,15086,33000,1350 Deli Par Inc,Limited-Service Restaurants,101 S Avenue A,Moundridge,McPherson,KS,67107
13922,In-Range,1160,Full-Service Restaurants,KS,6936,20352,183 Lanes,Full-Service Restaurants,906 S Cedar St,Stockton,Rooks,KS,67669
2921,In-Range,243,Caterers,KS,2856,20352,2 Chefs Catering LLC,Caterers,1178 SW Wayne Ave,Topeka,Shawnee,KS,66604
2921,In-Range,243,Caterers,KS,8153,8153,20th Century Center,Caterers,536 N Broadway Ave,Wichita,Sedgwick,KS,67214
60617,High,5051,Limited-Service Restaurants,KS,22168,33000,21st Century Entertainment Inc,Limited-Service Restaurants,122 E Main St,Chanute,Neosho,KS,66720
13922,In-Range,1160,Full-Service Restaurants,KS,6192,27136,24/40 Roadside Cafe,Full-Service Restaurants,2611 N 157th Ter,Basehor,Leavenworth,KS,66007
13922,In-Range,1160,Full-Service Restaurants,KS,12748,27136,2425 Damon Drive LLC,Full-Service Restaurants,4343 Westlake CT,Bel Aire,Sedgwick,KS,67220
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,2hot2handle Bbq Kc LLC,Full-Service Restaurants,1535 N 55th St,Kansas City,Wyandotte,KS,66102
60617,High,5051,Limited-Service Restaurants,KS,2606,12000,31st Phat Burgers Inc,Limited-Service Restaurants,331 W 31st St S,Wichita,Sedgwick,KS,67217
13922,In-Range,1160,Full-Service Restaurants,KS,10027,23744,4 Legs Up Inc.,Full-Service Restaurants,637 E Lakeview Dr,Great Bend,Barton,KS,67530
60617,High,5051,Limited-Service Restaurants,KS,5779,30528,526 Main LLC,Limited-Service Restaurants,526 E Main St,Gardner,Johnson,KS,66030
13922,In-Range,1160,Full-Service Restaurants,KS,12167,33920,54 Catering & Diner,Full-Service Restaurants,724 W 2nd St,Pratt,Pratt,KS,67124
13922,High,1160,Full-Service Restaurants,KS,2879,2879,56 Smokehouse LLC,Full-Service Restaurants,1227 W Noble St,Lyons,Rice,KS,67554
60617,High,5051,Limited-Service Restaurants,KS,5294,5294,8 Below Derby LLC,Limited-Service Restaurants,1821 E Madison Ave # 1100,Derby,Sedgwick,KS,67037
60617,High,5051,Limited-Service Restaurants,KS,12317,24000,8 Flavors LLC,Limited-Service Restaurants,2210 Iowa St,Lawrence,Douglas,KS,66046
13922,In-Range,1160,Full-Service Restaurants,KS,57589,105152,801 Chophouse Lea LLC,Full-Service Restaurants,11616 Ash St,Leawood,Johnson,KS,66211
13922,In-Range,1160,Full-Service Restaurants,KS,9000,40704,888 Cafe LLC,Full-Service Restaurants,10118 W 119th St,Shawnee Mission,Johnson,KS,66213
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,A Little Taste LLC,Full-Service Restaurants,13258 242nd Rd,Winfield,Cowley,KS,67156
2921,In-Range,243,Caterers,KS,38640,49500,A Most Excellent Catering Adventure Inc.,Caterers,10940 Parallel Pkwy K29,Kansas City,Wyandotte,KS,66109
13922,In-Range,1160,Full-Service Restaurants,KS,13750,30528,A Taste of Home LLC,Full-Service Restaurants,306 S E St,Herington,Dickinson,KS,67449
13922,In-Range,1160,Full-Service Restaurants,KS,7528,44096,ABC Cafe Inc.,Full-Service Restaurants,9815 Kessler St,Overland Park,Johnson,KS,66212
60617,In-Range,5051,Limited-Service Restaurants,KS,35171,120000,Abe & Jake's Landing LLC,Limited-Service Restaurants,8 E 6th St,Lawrence,Douglas,KS,66044
13922,In-Range,1160,Full-Service Restaurants,KS,6822,30528,Abj's Cruiser Cafe,Full-Service Restaurants,215 N Liberty St,Cherryvale,Montgomery,KS,67335
2921,In-Range,243,Caterers,KS,70952,156032,Aca Catering LLC,Caterers,312 E Nelson St,Edgerton,Johnson,KS,66021
2921,In-Range,243,Caterers,KS,2879,16960,Accountable Eats Catering Co.,Caterers,604 S Pike St,Sublette,Haskell,KS,67877
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Acquired Taste LLC,Full-Service Restaurants,12009 High Dr,Leawood,Johnson,KS,66209
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Ad Adstra Food & Drink,Full-Service Restaurants,318 Cottonwood St,Strong City,Chase,KS,66869
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Ad Astra Restaurant Group LLC,Full-Service Restaurants,318 Cottonwood St,Strong City,Chase,KS,66869
13922,In-Range,1160,Full-Service Restaurants,KS,40870,74624,Ad Astra Restaurants Inc.,Full-Service Restaurants,13905 Hayes St,Overland Park,Johnson,KS,66221
60617,High,5051,Limited-Service Restaurants,KS,2494,3000,Aed Enterprises LLC,Limited-Service Restaurants,3615 W 95th St,Overland Park,Johnson,KS,66206
