State,Excess_Food_Low_Tons,Excess_Food_High_Tons,Tons_Beverages_Don,Tons_Bread_Don,Tons_Dairy_Eggs_Don,Tons_Dry_Don,Tons_Frozen_Don,Tons_Meat_Don,Tons_Prepared_Don,Tons_Produce_Don,households_avg_21_23,food_insecurity_percent,very_low_food_security_percent,pop2020,pop2021,pop2022,pop2023,FoodBank_recd_TonYear,foodbanks
AK,"10,398","22,610","2,513","2,747","2,936","3,580",683,"3,073","3,873","9,140","279,000",10.4,5.3,"732,964","734,923","733,276","733,406","4,399",5
AL,"78,000","211,009","18,175","14,233","18,605","25,913","4,965","29,328","16,611","45,209","2,090,000",11.5,4.4,"5,031,864","5,050,380","5,073,903","5,108,468","19,443",9
AR,"44,088","97,686","10,043","10,064","14,187","18,198","3,448","15,006","9,575","25,014","1,283,000",18.9,6.7,"3,014,348","3,028,443","3,046,404","3,067,732","20,054",6
AZ,"138,051","282,787","24,382","31,591","34,450","35,177","7,022","42,072","29,369","105,923","2,962,000",11.8,4.7,"7,186,683","7,272,487","7,365,684","7,431,344","32,768",5
CA,"851,346","1,795,269","107,389","123,590","120,639","131,331","24,619","161,322","234,456","482,465","14,040,000",11.4,4.1,"39,503,200","39,145,060","39,040,616","38,965,193","119,442",35
CO,"123,792","236,526","18,636","27,040","28,070","29,769","5,748","30,922","26,079","88,833","2,403,000",9.9,3.4,"5,785,219","5,811,596","5,841,039","5,877,610","46,438",5
CT,"98,105","192,435","13,678","13,276","14,744","18,028","3,439","19,230","27,056","54,829","1,445,000",10.4,4.4,"3,577,586","3,603,691","3,608,706","3,617,176","20,237",4
DC,"17,324","29,488",,,,,,,,,"332,000",8.8,3.8,"670,839","669,037","670,949","678,972","20,938",1
DE,"19,411","37,667","4,359","3,557","4,144","5,422","1,108","5,524","3,855","11,344","405,000",11.3,4.0,"991,862","1,004,881","1,019,459","1,031,890","3,352",1
FL,"634,070","1,609,049","97,111","76,730","93,499","116,010","22,182","122,627","106,779","277,589","9,254,000",12.0,4.4,"21,591,299","21,830,708","22,245,521","22,610,726","91,867",15
GA,"198,435","438,435","37,856","31,745","40,044","52,646","10,219","55,792","38,203","110,559","4,278,000",12.8,5.1,"10,732,390","10,790,385","10,913,150","11,029,227","49,395",8
HI,"27,422","56,655","3,441","1,952","2,379","4,208",683,"2,696","2,684","12,868","496,000",9.6,3.6,"1,451,181","1,446,745","1,439,399","1,435,138","9,688",3
IA,"78,974","251,088","9,191","11,609","15,853","17,386","3,455","13,325","11,977","28,347","1,356,000",9.8,3.2,"3,190,904","3,197,944","3,199,693","3,207,004","15,370",7
ID,"28,423","365,639","3,604","5,947","6,913","6,858","1,265","4,773","4,708","15,430","750,000",11.3,4.4,"1,849,339","1,904,537","1,938,996","1,964,726","8,042",1
IL,"233,658","947,413","37,963","42,357","46,861","52,136","10,715","57,835","50,105","139,790","5,098,000",12.4,4.7,"12,790,357","12,690,341","12,582,515","12,549,689","75,930",6
IN,"116,863","244,668","22,127","27,090","33,245","36,082","7,565","34,461","25,513","77,947","2,809,000",12.2,5.3,"6,789,098","6,813,798","6,832,274","6,862,199","31,488",10
KS,"98,352","176,143","7,948","11,479","13,307","15,554","2,942","17,185","11,491","35,382","1,159,000",10.6,3.9,"2,938,124","2,937,946","2,936,716","2,940,546","6,792",2
