Community,State,Number of Households with Access,Processing Facility or Hauler,Material Preference,Source,Unique ID,,
Alameda  ,California,30708,"Recology Grover, Newby Island Resource Recovery Park (RRP)","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO518,,
Albany,California,7377,Recology Grover,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO477,,
Anacortes,Washington,,Skagit Soils,,http://wmnorthwest.com/anacortes/yardwaste.html,CSSO509,,
Ann Arbor,Michigan,45827,City of Ann Arbor Composting Facility,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2021; Massachusetts DEP,CSSO473,,
Arlington County,Virginia,39600,Freestate Farm,,BioCycle 2021,CSSO14,,
Arlington Heights,Illinois,"30,838",Groot,"fruits, vegetables, grains, non-liquid dairy, coffee and tea grounds",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO541,,
Aspen,Colorado,2005,Pitkin County Solid Waste Center,"food scraps, paper waste, and yard waste",BioCycle 2021; https://www.cityofaspen.com/359/Compost-SCRAPS,CSSO537,,
Athens,Ohio,1500,Athens-Hocking Organics,"fruit & vegetable scraps; coffee grounds & tea bags; meat, eggs & dairy; paper towels & napkins; bread & grains",https://www.ci.athens.oh.us/447/Curbside-Composting-Program; https://www.biocycle.net/curbside-food-waste-collection-in-ohio/,CSSO711,,
Auburn,Washington,17525,Cedar Grove Composting,,BioCycle 2021,CSSO717,,
Austin,Texas,207000,Organics by Gosh,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO646,,
Baltimore City,Maryland,210000,,,BioCycle 2021,CSSO723,,
Bannockburn,Illinois,205,Lakeshore Recycling Systems,"Foods and plants, meat, bread, fish, vegetables, table scraps, egg shells, pastas, coffee grounds, filters, tea bags, papers",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO542,,
