Name,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Phone,Facility's Website,Unique Identifier,Latitude,Longitude
DIVERSIFIED ORGANICS,,Tolleson,Maricopa County,AZ,85353,,dairy manure,https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,,CMP202243,33.451795,-112.25957
GOOD EARTH POWER  (GEP) OF ARIZONA LLC,,Williams,Coconino County,AZ,86046,,,https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,,CMP202248,35.249555,-112.19118
DON TOL COMPOST FACILITY,,Don-Tol,Wharton County,TX,77420,,*all feedstocks plus MSW and/or grease trap waste,https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223363,29.26144,-95.942475
DOGWOOD 178,,Florence,Pinal County,AZ,85128,,,https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,,CMP202245,32.97867,-111.523265
Green Leaf Recycling Vermicomposting,,Muldrow,Sequoyah County,OK,74948,,MMW,https://www.deq.ok.gov/wp-content/uploads/land-division/active_waste_facilities.pdf,580-442-3266,https://www.greenleafrecyclingok.com/,CMP20222994,35.4055106,-94.6013516
MOCZGEMBA COMPOST,,FALLS CITY,Karnes County,TX,78113,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223419,28.982105,-98.02134
GROW FAST SOIL BUILDERS,,Snowflake,Navajo County,AZ,85937,,,https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,,CMP202246,34.50788,-110.081455
GASTON TREE DEBRIS RECYCLING LLC - DINKS DUMP,,GAINESVILLE ,Alachua County,FL,32653,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 378-3348 ,,CMP2022892,29.71114,-82.360835
Harry Dawson,,MEDICINE LODGE,Barber County,KS,67104,,"Yard Waste, Manure, Livestock, Source-Separated (Slaughterhouse Waste)",KDHE,,,CMP20221424,37.282945,-98.58151
Joshua R. Havercamp,,NETAWAKA,Jackson County,KS,66516,,"Manure, Source-Separated (Slaughterhouse Waste, straw, old hay)",KDHE,,,CMP20221417,39.60188,-95.72104
Jefferson County Solid Waste Dept,,Monticello,Jefferson County,FL,32344,,yard waste,https://floridaforce.org/facilities/,850-342-0184,,CMP2022872,30.546225,-83.86693
