Name,NAICS_Code_Description,NAICS_Code,Address,City,State,County,Zip Code,Phone,Website,ExcessFood_TonYear_Lowest,ExcessFood_TonYear_Highest,Unique ID,Latitude,Longitude
180 DEGREES VONWALD GROUP HOME,CORRECTIONAL INSTITUTIONS,922140,4435 BAMBER VALLEY ROAD SW,ROCHESTER,MN,OLMSTED,55902,(507) 280-0110,https://mn.gov/doc/assets/180%20Degrees%20VonWald%20Group%20Home_2020_tcm1089-417289.pdf,1.86,3.07,CF149,43.957224,-92.5191405
180 DEGRESS ST. CLOUD GROUP HOME,CORRECTIONAL INSTITUTIONS,922140,1101 WASHINGTON MEMORIAL DRIVE,ST. CLOUD,MN,STEARNS,56301,(320) 259-6764,https://mn.gov/doc/assets/180%20Degrees%20St.%20Cloud%20Group%20Home_2019_tcm1089-414849.pdf,1.86,3.07,CF150,45.5475927,-94.1725158
204 DEPOT STREET PROGRAM,CORRECTIONAL INSTITUTIONS,922140,204 DEPOT STREET,BENNINGTON,VT,BENNINGTON,05201,(802) 442-6156,https://seallinc.org/204-depot-program/,1.24,2.04,CF59,42.882327,-73.1989125
3808 RESIDENTIAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,3808 N NEVADA AVENUE,COLORADO SPRINGS,CO,EL PASO,80907,(719) 636-5200,https://www.comcor.org/facilities/,20.94,34.49,CF2028,38.886921,-104.8202325
3-B JUVENILE DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,950 ENVIRONMENTAL WAY,IDAHO FALLS,ID,BONNEVILLE,83402,(208) 542-2947,http://www.3bdetention.org/,3.72,6.13,CF410,43.515747,-112.0147155
605 CENTER,CORRECTIONAL INSTITUTIONS,922140,605 MAIN STREET,DAVENPORT,IA,SCOTT,52803,(563) 322-7986,https://doc.iowa.gov/about-us/about-community-based-corrections/7th-judicial-district,18.62,30.66,CF1867,41.526144,-90.5747445
77TH STREET REGIONAL JAIL,CORRECTIONAL INSTITUTIONS,922140,7600 SOUTH BROADWAY,LOS ANGELES,CA,LOS ANGELES,90003,(213) 473-4851,,,,CF4761,33.970617,-118.278036
AARON COHN REGIONAL YOUTH DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,7700 CHATSWORTH ROAD,MIDLAND,GA,MUSCOGEE,31820,(706) 568-2498,https://djj.georgia.gov/locations/regional-youth-detention-centers,9.93,16.35,CF1250,32.526468,-84.853206
ABBEVILLE COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,21 OLD CALHOUN FALLS RD,ABBEVILLE,SC,ABBEVILLE,29620,(864) 446-6200,,16.29,26.83,CF1745,34.16750816,-82.41005459
ABBOTT HOUSE,CORRECTIONAL INSTITUTIONS,922140,909 COURT MERRILL ST,MITCHELL,SD,DAVISON,57301,(605) 996-2486,http://www.abbotthouse.org/,6.21,10.22,CF810,43.701687,-98.029719
ABRAXAS ACADEMY,CORRECTIONAL INSTITUTIONS,922140,1000 ACADEMY DRIVE,MORGANTOWN,PA,BERKS,19543,(610) 913-8000,https://abraxasyfs.com/abraxas-academy.html,24.20,39.86,CF2200,40.191804,-75.915801
ABRAXAS I,CORRECTIONAL INSTITUTIONS,922140,165 ABRAXAS ROAD,MARIENVILLE,PA,FOREST,16239,(800) 352-3402,https://abraxasyfs.com/abraxas-1.html,31.65,52.12,CF2479,41.55068824,-79.12747461
ABRAXAS LEADERSHIP DEVELOPMENT PROGRAM,CORRECTIONAL INSTITUTIONS,922140,10058 SOUTH MOUNTAIN ROAD,SOUTH MOUNTAIN,PA,FRANKLIN,17261,(800) 950-0509,https://www.geogroup.com/Locations,19.86,32.70,CF1969,39.845961,-77.4932175
ABRAXAS OHIO,CORRECTIONAL INSTITUTIONS,922140,2775 STATE ROUTE 39,SHELBY,OH,RICHLAND,44875,(800) 680-5747,https://abraxasyfs.com/abraxas-ohio.html,15.51,25.55,CF1673,40.830795,-82.6004835
ABRAXAS YOUTH CENTER,CORRECTIONAL INSTITUTIONS,922140,10058 SOUTH MOUNTAIN RD,SOUTH MOUNTAIN,PA,FRANKLIN,17261,(800) 560-7731,https://abraxasyfs.com/leadership-development-program.html,11.17,18.40,CF1358,39.845961,-77.4932175
ACADIA PARISH DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,1061 CAPITOL AVE,CROWLEY,LA,ACADIA,70526,(337) 788-8700,https://www.apso.org/divisions.html,,,CF4762,30.207726,-92.3987115
ACADIA PARISH JAIL,CORRECTIONAL INSTITUTIONS,922140,1037 CAPITOL AVE,CROWLEY,LA,ACADIA,70526,(337) 788-8737,https://www.apso.org/divisions.html,29.47,48.55,CF2372,30.20815236,-92.39844931
