Name,NAICS Code Description,NAICS Code,Address,City,County,State,Zip Code,Unique Identifier,Latitude,Longitude
18th Street Farmer's Market,Fruit and Vegetable Markets,445230,18th and Broadway, Scottsbluff,Scotts Bluff County,Nebraska,69361,22FMTS270050,41.864268,-103.66253
26th Annual Highlands Business Partnership's Farmers Market,Fruit and Vegetable Markets,445230,71 Waterwitch Avenue, Highlands,Monmouth County,New Jersey,7732,22FMTS269924,40.404837,-73.994358
Abingdon Farmers Market,Fruit and Vegetable Markets,445230,Corner of Remsburg Drive & Cummings St, Abingdon ,Washington County,Virginia,24210,22FMTS270060,36.708863,-81.97716
Adams-Ricci Farmers Market,Fruit and Vegetable Markets,445230,100 East Penn Drive, Enola,Cumberland County,Pennsylvania,17025,22FMTS270271,40.273997,-76.937407
Adaptations' Fresh Feast,Fruit and Vegetable Markets,445230,79-7500 Mamalahoa Highway, Kealakekua,Hawaii County,Hawaii,96750,22FMTS270034,19.525784,-155.92365
Airport Farmers and Flea Market,Fruit and Vegetable Markets,445230,17375 Spring Hill Dr, Brooksville,Hernando County,Florida,34604,22FMTS270026,28.481294,-82.441514
Alamosa Farmers Market,Fruit and Vegetable Markets,445230,Corner of 6th Street and State Avenue's Parking Lot, Alamosa,Alamosa County,Colorado,81101,22FMTS269976,37.467321,-105.865
Alexandria Bay Farmers Market,Fruit and Vegetable Markets,445230,Route 12, Alexandria Bay,Jefferson County,New York,13607,22FMTS269921,44.331171,-75.916118
Alexandria Farmers Market,Fruit and Vegetable Markets,445230,Broadway & Second Ave, Alexandria,Douglas County,Minnesota,56308,22FMTS270201,45.890762,-95.375902
Allen County Farmers' Market,Fruit and Vegetable Markets,445230,Jefferson, IOLA,Allen County,Kansas,66749,22FMTS270262,37.927427,-95.400669
Allen County Farmers' Market,Fruit and Vegetable Markets,445230,807  N. State, Iola,Allen County,Kansas,66749,22FMTS270263,37.927427,-95.400669
Ames Main Street Farmers' Market,Fruit and Vegetable Markets,445230,300 & 400 Blocks of  Main Street, Ames,Story County,Iowa,50010,22FMTS270083,42.025222,-93.614943
Anaconda Community Market,Fruit and Vegetable Markets,445230,Kennedy Common (306 Main), Anaconda,Deer Lodge County,Montana,59711,22FMTS270109,46.099059,-113.1391
Anacortes Farmers Market,Fruit and Vegetable Markets,445230,611 R Avenue, Anacortes,Skagit County,Washington,98221,22FMTS270006,48.516974,-122.60918
Andersonville Farmers Market,Fruit and Vegetable Markets,445230,1500 W. Catalpa Ave., Chicago,Cook County,Illinois,60640,22FMTS269969,41.981745,-87.668602
"Antigo Farmers Market, Inc.",Fruit and Vegetable Markets,445230,420 Field Street, Antigo,Langlade County,Wisconsin,54409,22FMTS270189,45.138703,-89.14985
Appleton Downtown Farm Market,Fruit and Vegetable Markets,445230,100 College Avenue, Appleton,Outagamie County,Wisconsin,54911,22FMTS269918,44.26201,-88.40703
Aquidneck Growers' Markets,Fruit and Vegetable Markets,445230,324 East Main Rd, Portsmouth,Newport County,Rhode Island,2871,22FMTS270251,41.546506,-71.261378
Ashland Farmers Market,Fruit and Vegetable Markets,445230,125 Front St, Ashland,Middlesex County,Massachusetts,1721,22FMTS270043,42.260027,-71.461538
ASU Regional Farmers' Market,Fruit and Vegetable Markets,445230,3300 Aggie Road, Jonesboro,Craighead County,Arkansas,72405,22FMTS269929,35.840771,-90.667327
Athens Farmers Market,Fruit and Vegetable Markets,445230,1002 East State Street, Athens,Athens County,Ohio,45701,22FMTS269993,39.336038,-82.056622
"Athens Farmers Market, L.L.C.",Fruit and Vegetable Markets,445230,271 W Hancock Ave, Athens,Clarke County,Georgia,30601,22FMTS270134,33.959088,-83.380247
"Athens Farmers Market, LLC",Fruit and Vegetable Markets,445230,705 Sunset Dr, Athens,Clarke County,Georgia,30606,22FMTS270133,33.9644564,-83.412131
Baldwin's Main St. Farmers Market,Fruit and Vegetable Markets,445230,Main St. and 6th Ave., Baldwin,St. Croix County,Wisconsin,54002,22FMTS270198,44.966999,-92.370763
Bangor Farmers' Market,Fruit and Vegetable Markets,445230,Corner of Franklin and Harlow Streets, Bangor,Penobscot County,Maine,4401,22FMTS270106,44.8039587,-68.771649
Barnegat Farmers Market,Fruit and Vegetable Markets,445230,14 Birdsall St., Barnegat,Ocean County,New Jersey,8005,22FMTS269937,39.753903,-74.221654
Basalt Sunday Market,Fruit and Vegetable Markets,445230,101 Midland Avenue, Basalt,Eagle County,Colorado,81621,22FMTS269967,39.368957,-107.03473
Bastrop 1832 Farmers Market,Fruit and Vegetable Markets,445230,1302 Chestnut Street, Bastrop,Bastrop County,Texas,78602,22FMTS269919,30.111777,-97.311627
Bay Area Farmers Market,Fruit and Vegetable Markets,445230,500 Baybrook Mall Drive, Friendswood,Harris County,Texas,77546,22FMTS270234,29.548702,-95.150682
Beaumont Farmers' Market,Fruit and Vegetable Markets,445230,,Beaumont,Jefferson County,Texas,77707,22FMTS270173,30.067686,-94.169203
Bedford Farmers Market,Fruit and Vegetable Markets,445230,209 Route 101, Bedford,Hillsborough County,New Hampshire,3110,22FMTS270276,42.938268,-71.525849
Belleville Farmer's Market,Fruit and Vegetable Markets,445230,1815 M St. , Belleville ,Republic County,Kansas,66935,22FMTS270096,39.822988,-97.630924
Belmont Farmers Market,Fruit and Vegetable Markets,445230,5429 State Route 19N, Belmont,Allegany County,New York,14813,22FMTS269948,42.234077,-78.053508
Bemidji's Natural Choice Farmers Market,Fruit and Vegetable Markets,445230,Union Square Parking Lot--2nd Street & Paul Bunyan Drive, Bemidji,Beltrami County,Minnesota,56601,22FMTS269933,47.469337,-94.880609
Benica Certified Farmers Market,Fruit and Vegetable Markets,445230,First Street between B & D Streets, Benicia,Solano County,California,94510,22FMTS269936,38.046215,-122.16118
Bethesda Central Farm Market,Fruit and Vegetable Markets,445230,7600 Arlington Road, Bethesda ,Montgomery County,Maryland,20814,22FMTS270056,38.986761,-77.09989
Bethlehem Farmers' Market,Fruit and Vegetable Markets,445230,Intersection of New and Morton Streets, Bethlehem,Northampton County,Pennsylvania,18015,22FMTS270115,40.6098058,-75.378402
Bloomfield Saturday Market,Fruit and Vegetable Markets,445230,5050 Liberty Ave, Pittsburgh,Allegheny County,Pennsylvania,15224,22FMTS270095,40.459005,-79.944435
BMI Farmers' Market,Fruit and Vegetable Markets,445230,1415 Key Highway, Baltimore,Baltimore city,Maryland,21230,22FMTS270135,39.273864,-76.601326
Bottineau Farmers Market,Fruit and Vegetable Markets,445230,6th Street and Main Street, Bottineau,Bottineau County,North Dakota,58318,22FMTS270152,48.8262788,-100.44594
Boulder Farmers and Artisan's Market,Fruit and Vegetable Markets,445230,304 N. Main Street, Boulder,Jefferson County,Montana,59632,22FMTS269935,46.239153,-112.11759
Bremerton Community Farmers Market,Fruit and Vegetable Markets,445230,1400 Park Ave, Bremerton,Kitsap County,Washington,98337,22FMTS270168,47.574253,-122.62886
Brooksville Farmers' Market,Fruit and Vegetable Markets,445230,15487 Citrus Way, Brooksville,Hernando County,Florida,34614,22FMTS270185,28.654639,-82.449304
Butte Farmers Market,Fruit and Vegetable Markets,445230,Uptown Butte, Butte,Silver Bow County,Montana,59701,22FMTS269934,46.01269,-112.5364
Caledonia Farmers Market Association - Danville,Fruit and Vegetable Markets,445230,, Danville,Caledonia County,Vermont,5873,22FMTS270144,44.411036,-72.140337
Caledonia Farmers Market Association - Winter,Fruit and Vegetable Markets,445230,Pearl St, St. Johnsbury,Caledonia County,Vermont,5819,22FMTS270145,44.417224,-72.016831
Canal Market District,Fruit and Vegetable Markets,445230,36 East Canal Street, Newark,Licking County,Ohio,43055,22FMTS270250,40.056586,-82.401032
Capital City Farmers Market,Fruit and Vegetable Markets,445230,126 West Loockerman Street (Loockerman Way Plaza), Dover,Kent County,Delaware,19904,22FMTS270097,39.1576541,-75.526229
Carrollton Farmers Market,Fruit and Vegetable Markets,445230,Carrollton Uptown Square, Carrollton,Carroll County,Missouri,64633,22FMTS270028,39.358097,-93.496941
Carver Farmers Market,Fruit and Vegetable Markets,445230,108 Main St., Carver,Plymouth County,Massachusetts,2330,22FMTS270107,41.888852,-70.769182
Catawba County Public Health Farmers Market,Fruit and Vegetable Markets,445230,3070 11th Ave Dr. SE, Hickory,Catawba County,North Carolina,28602,22FMTS270027,35.712066,-81.269507
Cedar Point Farmers Market,Fruit and Vegetable Markets,445230,1046 Cedar Point Blvd., Cedar Point,Carteret County,North Carolina,28584,22FMTS270267,34.68261,-77.083526
Celina's Friday Night Market,Fruit and Vegetable Markets,445230,142 N Ohio Street, Celina,Collin County,Texas,75009,22FMTS270172,33.3247511,-96.786984
Charles Town Farmers Market,Fruit and Vegetable Markets,445230,100 block of South Samuel Street, Charles Town,Jefferson County,West Virginia,25414,22FMTS270184,39.289073,-77.858454
Charlotte Regional Farmers Market,Fruit and Vegetable Markets,445230,1801 Yorkmont Road, Charlotte,Mecklenburg County,North Carolina,28217,22FMTS270092,35.1867102,-80.908718
Chatham Farmer's Market,Fruit and Vegetable Markets,445230,1652 Main Street Rte 28, Chatham,Barnstable County,Massachusetts,2633,22FMTS270005,41.676615,-69.962249
Chelsea Farmers' Market,Fruit and Vegetable Markets,445230,Corner of Rte 110 and Rte 113, Chelsea,Orange County,Vermont,5038,22FMTS269986,43.98878,-72.44747
Chesterfield County Farmers Market,Fruit and Vegetable Markets,445230,near 6701 Mimms Loop, Chesterfield,Chesterfield County,Virginia,23832,22FMTS270031,37.376728,-77.504419
Chippewa Falls Farmers Market,Fruit and Vegetable Markets,445230,1 S. Bridge Street, Chippewa Falls,Chippewa County,Wisconsin,54729,22FMTS270030,44.934888,-91.389337
City Center Farmers Market,Fruit and Vegetable Markets,445230,200 Sanborn Street, Florence,Florence County,South Carolina,29501,22FMTS270204,34.198789,-79.773582
City of Loveland Farmers Market,Fruit and Vegetable Markets,445230,700 S. Railroad, Loveland,Larimer County,Colorado,80537,22FMTS269979,40.387479,-105.07865
City of Pittsburgh Carrick Farmers Market,Fruit and Vegetable Markets,445230,1529 Brownsville Road, Pittsburgh ,Allegheny County,Pennsylvania,15210,22FMTS270131,40.400201,-79.988803
City of Plymouth Farmers Market,Fruit and Vegetable Markets,445230,15500 County Road 6, Plymouth,Hennepin County,Minnesota,55447,22FMTS269915,44.997274,-93.473419
City of White Bear Lake Farmer's Market,Fruit and Vegetable Markets,445230, between 2nd and 3rd Street, White Bear Lake,Ramsey County,Minnesota,55110,22FMTS270014,45.084125,-93.009953
Claremont Farmers & Artisans Market,Fruit and Vegetable Markets,445230,Harvard Avenue Between Bonita and First Streets, Claremont,Los Angeles County,California,91711,22FMTS269949,34.095598,-117.71641
Clarence Hollow Farmers' Market,Fruit and Vegetable Markets,445230, 10717 Main St. (route 5), Clarence,Erie County,New York,14031,22FMTS269922,42.98032,-78.58945
Clarkston Farmers Market,Fruit and Vegetable Markets,445230, Chestnut St, Clarkston ,Asotin County,Washington,99403,22FMTS270265,46.410563,-117.03992
Cleveland Park Farmers Market,Fruit and Vegetable Markets,445230,3400 Connecticut Ave NW,Washington city,District of Columbia,District of Columbia,20008,22FMTS270236,38.934817,-77.058379
Clinton Farmers Market,Fruit and Vegetable Markets,445230,20 West Park Row, Clinton,Oneida County,New York,13323,22FMTS270257,43.048866,-75.378462
CMS Farmers Market,Fruit and Vegetable Markets,445230,7500 Security Blvd., Woodlawn,Baltimore County,Maryland,21244,22FMTS269959,39.316055,-76.764414
Coastal Growers Market,Fruit and Vegetable Markets,445230,2325 Boston Neck Rd, Saunderstown,Washington County,Rhode Island,2874,22FMTS270255,41.512,-71.423632
Collinsville Farmers Market,Fruit and Vegetable Markets,445230,Main St. and Route 179, Collinsville,Hartford County,Connecticut,6019,22FMTS269932,41.810819,-72.923264
Colorado Farm and Art Market,Fruit and Vegetable Markets,445230,7350 Pine Creek Road, Colorado Springs,El Paso County,Colorado,80919,22FMTS269912,38.937716,-104.81468
Colorado Farm and Art Market,Fruit and Vegetable Markets,445230,215 S. Tejon, Colorado Springs,El Paso County,Colorado,80903,22FMTS270038,38.830543,-104.8223
Columbia Farmers Fresh Market,Fruit and Vegetable Markets,445230,5th Street & Riverside Drive, Columbia,Maury County,Tennessee,38401,22FMTS270141,35.6187845,-87.03048
Columbus KS Farmers Market,Fruit and Vegetable Markets,445230,202 N. East Avenue, Columbus,Cherokee County,Kansas,66725,22FMTS270210,37.171861,-94.831459
Conway Farmers Market,Fruit and Vegetable Markets,445230,1029 2nd Ave, Conway,Horry County,South Carolina,29526,22FMTS270102,33.833331,-79.044831
Co-Operative Farmers Market,Fruit and Vegetable Markets,445230,900 Barring Avenue, Scranton,Lackawanna County,Pennsylvania,18508,22FMTS270229,41.422523,-75.662496
