Name,NAICS Code Description,NAICS Code,Facility Type,Excess Food (tons per year),ReceivedFood_TonYear,Address,City,County,GNIS,State,Zip Code,Phone Number,Website,Latitude,Longitude,Unique Identifier
"Food Bank of Alaska, Inc.",Food Banks,624210,Food Bank,327.7265,4398.7005,2121 Spar Avenue,Anchorage,Anchorage Municipality,01416061,AK,99501,907-272-3663,http://www.foodbankofalaska.org,61.222487,-149.841361,FB01
Northwest Arkansas Food Bank,Food Banks,624210,Food Bank,,,1378 June Self Drive,Bethel Heights,Benton County,00069896,AR,72764,479-872-8774,http://www.NWAfoodbank.org,36.222838,-94.114702,FB010
Channel One Regional Food Bank,Food Banks,624210,Food Bank,,,"131 35th Street, SE",Rochester,Olmsted County,00659500,MN,55904,507-424-1700,http://www.helpingfeedpeople.org,43.972097,-92.459601,FB0100
SECOND HARVEST NORTHERN LAKES FOOD BANK,Food Banks,624210,Food Bank,27.9765,2530.4225,4503 Airpark Boulevard,DULUTH,St. Louis County,00662850,MN,55811,218-727-5653,http://www.northernlakesfoodbank.org,46.833196,-92.169629,FB0101
Harvesters Community Food Network,Food Banks,624210,Food Bank,396.693,22879.088,3801 Topping Avenue,Kansas City,Jackson County,00758502,MO,64130,816-929-3000,http://www.harvesters.org,39.056153,-94.516579,FB0102
ST. LOUIS AREA FOODBANK,Food Banks,624210,Food Bank,271.4405,17221.743,70 Corporate Woods Drive,BRIDGETON,St. Louis County,00758549,MO,63044,314-292-6262,http://www.stlfoodbank.org,38.783817,-90.46198,FB0103
The Food Bank for Central and Northeast Missouri,Food Banks,624210,Food Bank,87.336,17068.7035,"2101 Vandiver Drive, Suite B",Columbia,Boone County,00758464,MO,65202,573-474-1020,http://www.sharefoodbringhope.org,38.971946,-92.305856,FB0104
Southeast Missouri Food Bank,Food Banks,624210,Food Bank,1.766,4015.4365,600 State Highway H,Sikeston,Scott County,00758553,MO,63801,855-703-3663,http://www.semofoodbank.org,36.907955,-89.538113,FB0105
Ozarks Food Harvest,Food Banks,624210,Food Bank,416.862,7871.3095,2810 N. Cedarbrook,Springfield,Greene County,00758493,MO,65803,417-865-3411,http://www.ozarksfoodharvest.org,37.24588,-93.236728,FB0106
Second Harvest Community Food Bank,Food Banks,624210,Food Bank,35.6655,2918.688,915 Douglas,St. Joseph,Buchanan County,00758465,MO,64505,816-364-3663,http://www.ourcommunityfoodbank.org,39.782558,-94.84893,FB0107
Mississippi Food Network (MFN),Food Banks,624210,Food Bank,16.152,9384.628,440 W. Beatty Street,Jackson,Hinds County,00695748,MS,39201,601-973-7080,http://www.msfoodnet.org,32.285218,-90.194031,FB0108
Montana Food Bank Network,Food Banks,624210,Food Bank,59.2835,4729.323,5625 Expressway,Missoula,Missoula County,01719596,MT,59808,406-721-3825,http://www.mfbn.org,46.921794,-114.074656,FB0109
Community Food Bank of Southern Arizona,Food Banks,624210,Food Bank,211.3265,14859.0625,3003 South Country Club Road,Tucson,Pima County,00025446,AZ,85713,520-622-0525,http://www.communityfoodbank.org,32.188641,-110.92645,FB011
Second Harvest Food Bank of Metrolina,Food Banks,624210,Food Bank,310.0855,22591.1775,500 B Spratt St.,Charlotte,Mecklenburg County,01008570,NC,28206,704-376-1785,http://www.secondharvestmetrolina.org,35.239065,-80.838656,FB0110
Food Bank of Central & Eastern North Carolina,Food Banks,624210,Food Bank,1424.1435,28231.536,3808 Tarheel Drive,Raleigh,Wake County,01008592,NC,27609,919-875-0707,http://www.foodbankcenc.org,35.830897,-78.607639,FB0111
Second Harvest Food Bank of Northwest North Carolina,Food Banks,624210,Food Bank,2823.7485,15294.596,3655 Reed Street,Winston-Salem,Forsyth County,01008552,NC,27107,336-784-5770,http://www.hungernwnc.org,36.052747,-80.210237,FB0112
