Name,NAICS Code Description,NAICS Code,Address,City,County,State,Zip Code,Phone,Website,UniqueID
2nd II None TRAnsport&logistics LLC,Refrigerated Warehousing and Storage,493120,2052 Fran Dr,Las Cruces,Dona Ana,NM,88007,5754056267,,22RWDS270109
32 Cold,Refrigerated Warehousing and Storage,493120,7034 Riverboat Dr,Eastvale,Riverside,CA,91752,9099693583,www.32-cold-services-and-solutions.com,22RWDS270412
"32 Cold, LLC",Refrigerated Warehousing and Storage,493120,6020 Sheila St,Commerce,Los Angeles,CA,90040,3232780094,www.32-cold-services-and-solutions.com,22RWDS270375
"32 Cold, LLC",Refrigerated Warehousing and Storage,493120,6700 S Alameda St,Huntington Park,Los Angeles,CA,90255,3232779225,www.32-cold-services-and-solutions.com,22RWDS270401
A and F Distributing Corporation,Refrigerated Warehousing and Storage,493120,1457 N Main St,Los Angeles,Los Angeles,CA,90012,3232258321,www.afproduce.com,22RWDS270031
A Leap of Faith Transportation,Refrigerated Warehousing and Storage,493120,3304 Race St,Fort Worth,Tarrant,TX,76111,8178292432,,22RWDS270240
"Achieve Global Logistics, LLC",Refrigerated Warehousing and Storage,493120,113 S Columbus St Ste 100,Alexandria,Alexandria city,VA,22314,7036069005,,22RWDS269974
Advanced Cold Storage International LLC,Refrigerated Warehousing and Storage,493120,7965 S Dowling Lake Rd E,Superior,Douglas,WI,54880,7153986357,www.advancedcoldstorage.com,22RWDS270439
Affiliated Warehouse Companies Inc,Refrigerated Warehousing and Storage,493120,22981 Canyon Lake Dr N,Canyon Lake,Riverside,CA,92587,,www.awco.com,22RWDS270141
Affordable Delta Storage,Refrigerated Warehousing and Storage,493120,1109 Main St,Delta,Delta,CO,81416,9708740101,www.deltastorage.net,22RWDS269968
Agro Merchants North America Holdings LLC,Refrigerated Warehousing and Storage,493120,220 Nordic Way,Pooler,Chatham,GA,31322,9129885891,www.agromerchants.com,22RWDS270130
"Agro Merchants Oakland, LLC",Refrigerated Warehousing and Storage,493120,1145 Sanctuary Pkwy # 150,Alpharetta,Fulton,GA,30009,5108787055,,22RWDS269976
All Medical Cold Storage LLC,Refrigerated Warehousing and Storage,493120,1410 Carroll Ave,Saint Paul,Ramsey,MN,55104,6516450398,,22RWDS270021
Allegheny Cold Storage Company Inc,Refrigerated Warehousing and Storage,493120,16 57th St,Pittsburgh,Allegheny,PA,15201,4127823670,www.alleghenycoldstorage.com,22RWDS270047
"Allentown Refrigerated Terminals, Inc.",Refrigerated Warehousing and Storage,493120,125 Seneca Trl,Boyertown,Berks,PA,19512,6103672174,,22RWDS269997
Alvin & Constance Holman,Refrigerated Warehousing and Storage,493120,1201 Poe St,Wenatchee,Chelan,WA,98801,5097823018,,22RWDS269986
America Cold Storage,Refrigerated Warehousing and Storage,493120,800 Broadway,Vineland,Cumberland,NJ,08360,8568392095,,22RWDS270444
American Automated Warehouses LLC,Refrigerated Warehousing and Storage,493120,297 Kingsbury Grade # 100,Stateline,Douglas,NV,89449,7202720628,,22RWDS270208
"American Cold Storage-North America, L.P.",Refrigerated Warehousing and Storage,493120,100 Lee St,Jackson,Madison,TN,38301,7314227100,www.americancold.com,22RWDS269923
Americold Logistics LLC,Refrigerated Warehousing and Storage,493120,2007 W Mary St,Garden City,Finney,KS,67846,6202762304,www.americold.com,22RWDS270101
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,10 Glenlake Pkwy Ste 324,Atlanta,Fulton,GA,30328,6784411400,www.americold.com,22RWDS269916
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,10 W Magnolia Blvd,Burbank,Los Angeles,CA,91502,,www.americold.com,22RWDS269918
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,100 Widett Cir,Boston,Suffolk,MA,02118,6172696330,www.americold.com,22RWDS269925
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1000 Arctic Ave,Zumbrota,Goodhue,MN,55992,5077324224,www.americold.com,22RWDS269926
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1115 W Rose St,Walla Walla,Walla Walla,WA,99362,5095257010,www.americold.com,22RWDS269970
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1200 N Old Missouri Rd,Springdale,Washington,AR,72764,4797562044,www.americold.com,22RWDS269985
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1211 Pump Station Rd,Kannapolis,Cabarrus,NC,28081,7049326119,www.americold.com,22RWDS269991
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1301 26th Ave E,Tacoma,Pierce,WA,98424,2536207289,www.americold.com,22RWDS270005
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1331 Civil War Ave,Carthage,Jasper,MO,64836,4173589027,www.americold.com,22RWDS270013
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1415 N Raymond Ave,Anaheim,Orange,CA,92801,,www.americold.com,22RWDS270024
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1420 Greenwood Rd,McDonough,Henry,GA,30253,,www.americold.com,22RWDS270025
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1440 Silverton Rd,Woodburn,Marion,OR,97071,5039813911,www.americold.com,22RWDS270030
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1646 S 4490 W,Salt Lake City,Salt Lake,UT,84104,8016062488,www.americold.com,22RWDS270060
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1680 Candler Rd,Gainesville,Hall,GA,30507,7705319800,www.americold.com,22RWDS270069
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1731 Morrow St,Green Bay,Brown,WI,54302,9204688311,www.americold.com,22RWDS270072
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,1845 Westgate Pkwy SW,Atlanta,Fulton,GA,30336,4046292430,www.americold.com,22RWDS270077
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2006 Industrial Blvd,Douglas,Coffee,GA,31533,9123843397,www.americold.com,22RWDS270100
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2130 Old Georgia Hwy,Gaffney,Cherokee,SC,29340,8644880880,www.americold.com,22RWDS270119
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,214 Industrial Dr,Greenville,Greenville,SC,29607,8642336795,www.americold.com,22RWDS270120
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,230 Collins Rd,Jefferson,Jefferson,WI,53549,9206743035,www.americold.com,22RWDS270142
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2300 E Rice St,Sioux Falls,Minnehaha,SD,57103,,www.americold.com,22RWDS270143
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,240 Chester St,Saint Paul,Ramsey,MN,55107,6512270741,www.americold.com,22RWDS270156
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2500 Rose Pkwy,Sikeston,Scott,MO,63801,5734717727,www.americold.com,22RWDS270167
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2524 Exchange Ave,Oklahoma City,Oklahoma,OK,73108,4052354444,www.americold.com,22RWDS270172
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2525 Bergey Rd,Hatfield,Montgomery,PA,19440,2157210700,www.americold.com,22RWDS270173
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2707 N Mead St,Wichita,Sedgwick,KS,67219,3168389317,www.americold.com,22RWDS270190
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,2750 Orbiter St,Brea,Orange,CA,92821,7149933533,,22RWDS270192
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,291 Park Center Dr,Winchester,Frederick,VA,22603,5405457559,www.americold.com,22RWDS270206
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,301 S Walnut St,Burlington,Skagit,WA,98233,3607550651,www.americold.com,22RWDS270213
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,302 N Frontage Rd,Plant City,Hillsborough,FL,33563,8137549341,www.americold.com,22RWDS270214
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,3245 Road N Ne,Moses Lake,Grant,WA,98837,5097657838,www.americold.com,22RWDS270235
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,3543 Maple Dr,Fort Dodge,Webster,IA,50501,5159553505,www.americold.com,22RWDS270248
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,380 Willow Springs Ln,York,York,PA,17406,7177645630,www.americold.com,22RWDS270255
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,3800 Garman Rd,Salem,Salem city,VA,24153,,www.americold.com,22RWDS270256
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,3800 Hempland Rd,Mountville,Lancaster,PA,17554,7172854444,www.americold.com,22RWDS270257
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,3801 E Princess Anne Rd,Norfolk,Norfolk city,VA,23502,,www.americold.com,22RWDS270258
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,4095 Portland Rd Ne,Salem,Marion,OR,97301,5033631645,www.americold.com,22RWDS270284
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,455 John Hancock Rd,Taunton,Bristol,MA,02780,5085134400,www.americold.com,22RWDS270308
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,455 S 75th Ave,Phoenix,Maricopa,AZ,85043,,www.americold.com,22RWDS270309
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,502 N Broadway St,La Porte,Harris,TX,77571,2814710072,www.americold.com,22RWDS270335
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,5140 Catron Dr,Dallas,Dallas,TX,75227,2143812653,www.americold.com,22RWDS270342
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,525 S Kilroy Rd,Turlock,Stanislaus,CA,95380,2096683802,www.americold.com,22RWDS270347
