Name,Naics Code Description,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)"
07wingz Catering,Caterers,2330 Oak CT,Nashville,Davidson,TN,37206,7.31
1 5 Island Spice LLC,Caterers,25 N 18th St,East Orange,Essex,NJ,07017,1.54
1 Cache Restaurant & Cafeteria Inc,"Cafeterias, Grill Buffets, and Buffets",1500 Palm Ave,Hialeah,Miami-Dade,FL,33010,8.71
1 Catering,Caterers,2100 Harlequin Ter,Silver Spring,Montgomery,MD,20904,1.51
1 In 6 Snacks LLC,Mobile Food Services,100 J A Rogers Rd,Kittrell,Vance,NC,27544,0.68
1 Sweet G Catering Inc,Caterers,59 Ridgewood Ave,Brooklyn,Kings,NY,11207,8.25
1017 Culinary,Caterers,1255 E County Line Rd,Jackson,Hinds,MS,39211,1.44
"1024 Catering Company, LLC",Caterers,1024 Oak St,Huntington,Huntington,IN,46750,5.52
1060 Restaurants,Caterers,1060 E Genesee St,Syracuse,Onondaga,NY,13210,18.15
"107 Catering, LLC",Caterers,107 Woodside Ave,Narberth,Montgomery,PA,19072,4.48
108 B Event Catering LLC,Caterers,4261 Wheaton Ln,Clarkston,DeKalb,GA,30021,2.37
11 1 Catering LLC,Caterers,869 SW County Road 360,Madison,Madison,FL,32340,1.30
11 11 Health Bar,Snack and Nonalcoholic Beverage Bars,87 Union St,Newton,Middlesex,MA,02459,9.02
110 Madison Catering Corp.,Caterers,110 Madison Ave,New York,New York,NY,10016,1.44
111 ME Cafe Market & Catering,Caterers,111 Maine St,Brunswick,Cumberland,ME,04011,8.96
"117-03 Hillside Catering, Inc.",Caterers,11703 Hillside Ave,Richmond Hill,Queens,NY,11418,5.45
"1200 Bar, Inc.",Snack and Nonalcoholic Beverage Bars,1200 Reed St,Philadelphia,Philadelphia,PA,19147,15.22
121 Inflight,Caterers,359 Air Freight Blvd,Nashville,Davidson,TN,37217,1.44
"1223 Parking, Inc.",Caterers,4735 Bee Ridge Rd,Sarasota,Sarasota,FL,34233,7.39
123 Snack,Snack and Nonalcoholic Beverage Bars,45 N San Gabriel Blvd,Pasadena,Los Angeles,CA,91107,3.02
128 South,Caterers,128 S Front St,Wilmington,New Hanover,NC,28401,2.41
129 Coosa,Caterers,129 Coosa St,Montgomery,Montgomery,AL,36104,0.90
12st Catering,Caterers,3312 Spring Garden St,Philadelphia,Philadelphia,PA,19104,12.18
1316 Jones,Caterers,1316 Jones St,Omaha,Douglas,NE,68102,1.55
1380 Blackberry Lane LLC,Caterers,1380 Blackberry Ln,Rockingham,Harrisonburg city,VA,22802,4.55
