year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2022,Farm,Not Applicable,Dry Goods,Buyer Rejections,Buyer Rejections,7.2072,6524.118749,0,0
2022,Farm,Not Applicable,Dry Goods,Excess,Packhouse Losses (Not Marketable),5.5664,5038.829865,0,0
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Bad Weather),51546.59268,34313258.07,0,51546.59268
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Food Safety),0.680452725,351.113119,0,0.680452725
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Market Dynamics),181.2582291,138057.058,0,0
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Other),337.7910472,223265.3746,0,337.7910472
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Pests/Disease),908.6775864,470834.7758,0,908.6775864
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Inedible),30894.41835,66191365,0,30894.41835
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Marketable),51239.11624,57276501.57,0,0
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Not Marketable),36305.33374,47323044.45,0,0
2022,Farm,Not Applicable,Dry Goods,Spoiled,Packhouse Losses (Inedible),73.9536,66944.45392,0,73.9536
2022,Farm,Not Applicable,Produce,Buyer Rejections,Buyer Rejections,548867.2322,245349687.9,128579.7532,0
2022,Farm,Not Applicable,Produce,Excess,Packhouse Losses (Not Marketable),306372.1565,163904252.9,65930.94697,0
2022,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Bad Weather),506560.4989,186270463.6,121955.9514,506560.4989
2022,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Food Safety),110.06954,13438.80335,52.36908889,110.06954
2022,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Market Dynamics),1944.236122,649547.1894,791.7108778,0
2022,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Other),23010.90849,11319824.96,4583.982507,23010.90849
2022,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Pests/Disease),21162.31672,8046298.718,4179.400915,21162.31672
2022,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (Inedible),4280741.188,3811279482,855835.9892,4280741.188
2022,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (Marketable),3259117.961,2690625504,649503.9788,0
