Name,Naics,Address,City,County,State,zip,excess_low_lbs,excess_high_lbs,UniqueID,prepared
105 Pizza LLC,Limited-Service Restaurants,10540 S Ridgeview Rd,Olathe,Johnson,KS,66061,2972,18000,RFS291142,0
126 Pizza LLC,Limited-Service Restaurants,11111 W 95th St Ste 252,Overland Park,Johnson,KS,66214,20435,33000,RFS296078,0
133 Coffee LLC,Limited-Service Restaurants,1109 Dearborn St,Baldwin City,Douglas,KS,66006,12317,24000,RFS295455,0
1350 Deli Par Inc,Limited-Service Restaurants,101 S Avenue A,Moundridge,McPherson,KS,67107,15086,33000,RFS287083,0
183 Lanes,Full-Service Restaurants,906 S Cedar St,Stockton,Rooks,KS,67669,6936,20352,RFS273534,0
2 Chefs Catering LLC,Caterers,1178 SW Wayne Ave,Topeka,Shawnee,KS,66604,2856,20352,RFS2357,0
20th Century Center,Caterers,536 N Broadway Ave,Wichita,Sedgwick,KS,67214,8153,8153,RFS17796,0
21st Century Entertainment Inc,Limited-Service Restaurants,122 E Main St,Chanute,Neosho,KS,66720,22168,33000,RFS303769,0
24/40 Roadside Cafe,Full-Service Restaurants,2611 N 157th Ter,Basehor,Leavenworth,KS,66007,6192,27136,RFS141425,0
2425 Damon Drive LLC,Full-Service Restaurants,4343 Westlake CT,Bel Aire,Sedgwick,KS,67220,12748,27136,RFS195321,0
2hot2handle Bbq Kc LLC,Full-Service Restaurants,1535 N 55th St,Kansas City,Wyandotte,KS,66102,2879,23744,RFS83474,0
31st Phat Burgers Inc,Limited-Service Restaurants,331 W 31st St S,Wichita,Sedgwick,KS,67217,2606,12000,RFS374543,0
4 Legs Up Inc.,Full-Service Restaurants,637 E Lakeview Dr,Great Bend,Barton,KS,67530,10027,23744,RFS235908,0
526 Main LLC,Limited-Service Restaurants,526 E Main St,Gardner,Johnson,KS,66030,5779,30528,RFS405290,0
54 Catering & Diner,Full-Service Restaurants,724 W 2nd St,Pratt,Pratt,KS,67124,12167,33920,RFS249839,0
56 Smokehouse LLC,Full-Service Restaurants,1227 W Noble St,Lyons,Rice,KS,67554,2879,2879,RFS58040,0
8 Below Derby LLC,Limited-Service Restaurants,1821 E Madison Ave # 1100,Derby,Sedgwick,KS,67037,5294,5294,RFS331721,0
8 Flavors LLC,Limited-Service Restaurants,2210 Iowa St,Lawrence,Douglas,KS,66046,12317,24000,RFS346878,0
801 Chophouse Lea LLC,Full-Service Restaurants,11616 Ash St,Leawood,Johnson,KS,66211,57589,105152,RFS50523,0
888 Cafe LLC,Full-Service Restaurants,10118 W 119th St,Shawnee Mission,Johnson,KS,66213,9000,40704,RFS31786,0
A Little Taste LLC,Full-Service Restaurants,13258 242nd Rd,Winfield,Cowley,KS,67156,2879,23744,RFS66996,0
A Most Excellent Catering Adventure Inc.,Caterers,10940 Parallel Pkwy K29,Kansas City,Wyandotte,KS,66109,38640,49500,RFS1411,0
A Taste of Home LLC,Full-Service Restaurants,306 S E St,Herington,Dickinson,KS,67449,13750,30528,RFS157321,0
ABC Cafe Inc.,Full-Service Restaurants,9815 Kessler St,Overland Park,Johnson,KS,66212,7528,44096,RFS281925,0
Abe & Jake's Landing LLC,Limited-Service Restaurants,8 E 6th St,Lawrence,Douglas,KS,66044,35171,120000,RFS432796,0
Abj's Cruiser Cafe,Full-Service Restaurants,215 N Liberty St,Cherryvale,Montgomery,KS,67335,6822,30528,RFS120334,0
Aca Catering LLC,Caterers,312 E Nelson St,Edgerton,Johnson,KS,66021,70952,156032,RFS12417,0
Accountable Eats Catering Co.,Caterers,604 S Pike St,Sublette,Haskell,KS,67877,2879,16960,RFS18984,0
Acquired Taste LLC,Full-Service Restaurants,12009 High Dr,Leawood,Johnson,KS,66209,2879,2879,RFS54688,0
Ad Adstra Food & Drink,Full-Service Restaurants,318 Cottonwood St,Strong City,Chase,KS,66869,2879,23744,RFS161933,0
Ad Astra Restaurant Group LLC,Full-Service Restaurants,318 Cottonwood St,Strong City,Chase,KS,66869,2879,23744,RFS161934,0
Ad Astra Restaurants Inc.,Full-Service Restaurants,13905 Hayes St,Overland Park,Johnson,KS,66221,40870,74624,RFS71454,0
Aed Enterprises LLC,Limited-Service Restaurants,3615 W 95th St,Overland Park,Johnson,KS,66206,2494,3000,RFS380072,0
Aggieville Pita Inc,Limited-Service Restaurants,716 N Manhattan Ave,Manhattan,Riley,KS,66502,2879,2879,RFS426136,0
Airport Steak House Inc,Full-Service Restaurants,1100 Airport Rd,Hutchinson,Reno,KS,67501,33890,33890,RFS42501,0
Ajp Enterprises LLC,Limited-Service Restaurants,25474 Hatchell Rd,Tonganoxie,Leavenworth,KS,66086,2879,21000,RFS356618,0
Aj's Pizzeria,Limited-Service Restaurants,1930 SW Westport Dr,Topeka,Shawnee,KS,66604,47386,57000,RFS335358,0
Aj's Pizzeria,Limited-Service Restaurants,301 Poyntz Ave,Manhattan,Riley,KS,66502,52856,52856,RFS366975,0
Aladdin Cafe,Full-Service Restaurants,1021 Massachusetts St,Lawrence,Douglas,KS,66044,30792,30792,RFS33242,0
Alazanes Mexican Restaurant & Cantina LL,Full-Service Restaurants,14893 Metcalf Ave,Overland Park,Johnson,KS,66223,6618,6618,RFS78857,0
Albero Cafe,Full-Service Restaurants,4811 E Central Ave,Wichita,Sedgwick,KS,67208,5100,40704,RFS204824,0
Alchemy Coffee & Bake House LLC,Limited-Service Restaurants,1901 Massachusetts St,Lawrence,Douglas,KS,66046,38490,75000,RFS334075,0
All Occasion Catering,Caterers,2107 SE California Ave,Topeka,Shawnee,KS,66605,13626,30528,RFS8497,0
All Slabbed Up Bbq LLC,Full-Service Restaurants,24229 172nd St,Leavenworth,Leavenworth,KS,66048,23100,101760,RFS133819,0
All Star Catering,Caterers,11184 Antioch Rd,Overland Park,Johnson,KS,66210,2124,13568,RFS1798,0
All Things Bbq,Full-Service Restaurants,115 N Osage St,Wichita,Sedgwick,KS,67203,17529,37312,RFS49217,0
All Things Bbq LLC,Full-Service Restaurants,818 W Douglas Ave,Wichita,Sedgwick,KS,67203,15935,15935,RFS262842,0
Allegro Cafe,Full-Service Restaurants,300 N Mead St Ste 108,Wichita,Sedgwick,KS,67202,2879,23744,RFS153795,0
Aloha Chopstix,Full-Service Restaurants,4316 Rainbow Blvd,Kansas City,Wyandotte,KS,66103,9603,9603,RFS194672,0
Alta Prairie Inc,Limited-Service Restaurants,1228 Westloop Pl,Manhattan,Riley,KS,66502,52374,69606,RFS304424,0
Amanda's Bakery & Bistro L.L.C.,Limited-Service Restaurants,302 N Broadway St,Abilene,Dickinson,KS,67410,19862,39000,RFS367341,0
Amandas Bakery & Cafe LLC,Full-Service Restaurants,702 Commercial St Ste 1f,Emporia,Lyon,KS,66801,6535,30528,RFS245464,0
Ambrosia Catering of Kc LLC,Caterers,8104 Grandview St,Overland Park,Johnson,KS,66204,7025,33920,RFS22015,0
American Dining Ventures LLC,Full-Service Restaurants,102 E 12th St,Pleasanton,Linn,KS,66075,11148,50880,RFS32672,0
American Pizza Partners,Limited-Service Restaurants,7700 E Polo Dr,Wichita,Sedgwick,KS,67206,59694,169600,RFS430806,0
American Seafood Partners L.P.,Limited-Service Restaurants,3020 N Cypress St Ste 100,Wichita,Sedgwick,KS,67226,324220,471900,RFS367439,0
Americrown Concessions At,Limited-Service Restaurants,400 Speedway Blvd,Kansas City,Wyandotte,KS,66111,54757,87000,RFS385878,0
Amigos,Full-Service Restaurants,234 E Franklin St,Pomona,Franklin,KS,66076,23857,64448,RFS130199,0
Amigo's Grill & Cantina LLC,Full-Service Restaurants,2737 S 47th St,Kansas City,Wyandotte,KS,66106,10558,33920,RFS145569,0
Amy's Pizza Place,Limited-Service Restaurants,1401 Mundell Dr,Mulvane,Sedgwick,KS,67110,23903,45000,RFS313867,0
Ana's Burger Shack LLC,Limited-Service Restaurants,2500 Farm Bureau Rd # 359,Manhattan,Riley,KS,66502,13341,27000,RFS355169,0
Anchor Grill Mexican Restaurant,Full-Service Restaurants,528 E 30th Ave,Hutchinson,Reno,KS,67502,2879,2879,RFS215965,0
Andersen Family Restaurants LLC,Full-Service Restaurants,312 N Main St,Kingman,Kingman,KS,67068,3167,21000,RFS159970,0
Anderson's Bar-B-Que Restaurant,Full-Service Restaurants,130 Grant Ave,Junction City,Geary,KS,66441,2879,23744,RFS63807,0
Andre Bollier Ltd,Full-Service Restaurants,4929 W 119th St,Overland Park,Johnson,KS,66209,2760,3392,RFS206681,0
Anita's LLC,Full-Service Restaurants,5816 Merriam Dr,Merriam,Johnson,KS,66203,18577,33920,RFS225049,0
Anna Maes,Full-Service Restaurants,11529 Bradshaw St,Overland Park,Johnson,KS,66210,4179,23744,RFS49718,0
Annette's Country Kitchen,Full-Service Restaurants,314 Main St,Barnard,Lincoln,KS,67418,25018,25018,RFS160725,0
Ann's Diner LLC,Full-Service Restaurants,916 Monroe St,Lyndon,Osage,KS,66451,2879,23744,RFS275065,0
Antioch Subway LLC,Limited-Service Restaurants,11011 Antioch Rd Ste 100,Overland Park,Johnson,KS,66210,6604,6604,RFS294911,0
Antojitos El Barbas,Full-Service Restaurants,601 E 4th Ave,Hutchinson,Reno,KS,67501,5449,27136,RFS228550,0
Antojitos Mexicanos El Sol,Full-Service Restaurants,490 McCall Rd,Manhattan,Riley,KS,66502,5660,33920,RFS206050,0
Aoyama Point Hot Pot,Full-Service Restaurants,8327 W 135th St,Overland Park,Johnson,KS,66223,14862,27136,RFS265077,0
AP Restaurant Group LLC,Full-Service Restaurants,7700 E Polo Dr,Wichita,Sedgwick,KS,67206,2879,23744,RFS255675,0
Apple Corps LP,Full-Service Restaurants,1877 N Rock Rd,Wichita,Sedgwick,KS,67206,2760,1377425,RFS102921,0
Applebee's International Inc.,Full-Service Restaurants,2912 S 4th St,Leavenworth,Leavenworth,KS,66048,276000,339200,RFS150959,0
Applebee's International Inc.,Full-Service Restaurants,6800 Johnson Dr,Shawnee Mission,Johnson,KS,66202,165600,203520,RFS241789,0
Applebee's International Inc.,Full-Service Restaurants,11500 W 63rd St,Shawnee Mission,Johnson,KS,66203,193200,237440,RFS49517,0
Applebee's Neighborhood Grill & Bar Rest,Full-Service Restaurants,11201 Renner Blvd,Lenexa,Johnson,KS,66219,40870,74624,RFS46144,0
Arby's,Limited-Service Restaurants,1 S Hedge Ln,Paola,Miami,KS,66071,8118,66000,RFS284442,0
Arby's,Limited-Service Restaurants,10930 Parallel Pkwy,Kansas City,Wyandotte,KS,66109,43428,43428,RFS293692,0
Arby's,Limited-Service Restaurants,11419 E 21st St N 7944,Wichita,Sedgwick,KS,67206,7714,45000,RFS298358,0
Arby's,Limited-Service Restaurants,15021 Metcalf Ave,Overland Park,Johnson,KS,66223,7913,66000,RFS319009,0
Arby's,Limited-Service Restaurants,200 E Cloud Ave,Andover,Butler,KS,67002,7865,66000,RFS337499,0
Arby's,Limited-Service Restaurants,22410 W 66th St,Shawnee,Johnson,KS,66226,18577,18577,RFS348007,0
Arby's,Limited-Service Restaurants,405 McCall Rd,Manhattan,Riley,KS,66502,17788,36000,RFS387323,0
Arby's,Limited-Service Restaurants,421 Windward Dr,Newton,Harvey,KS,67114,27630,27630,RFS390510,0
Arby's,Limited-Service Restaurants,4815 S Washington Ave,Wichita,Sedgwick,KS,67216,2879,21000,RFS398428,0
Arby's,Limited-Service Restaurants,600 Tulip Dr,Bonner Springs,Wyandotte,KS,66012,41540,41540,RFS413313,0
Arby's,Limited-Service Restaurants,720 E Chestnut St,Junction City,Geary,KS,66441,8643,66000,RFS426476,0
Arbys Restaurant,Limited-Service Restaurants,13790 S Blackbob Rd,Olathe,Johnson,KS,66062,7803,57000,RFS312576,0
Arbys Restaurant,Limited-Service Restaurants,1707 W Central Ave,El Dorado,Butler,KS,67042,28907,28907,RFS327520,0
Arbys Restaurant,Limited-Service Restaurants,5930 SW Huntoon St,Topeka,Shawnee,KS,66604,2879,21000,RFS412278,0
Arbys Roast Beef,Limited-Service Restaurants,326 Southwind Pl,Manhattan,Riley,KS,66503,32612,32612,RFS373526,0
Arbys Roast Beef Restaurants,Limited-Service Restaurants,2711 W US Highway 50,Emporia,Lyon,KS,66801,28789,28789,RFS360266,0
ARI Delights LLC,Full-Service Restaurants,19003 W 167th Ter,Olathe,Johnson,KS,66062,2245,2245,RFS104158,0
Arkam Inc,Limited-Service Restaurants,124 N Clairborne Rd,Olathe,Johnson,KS,66062,32422,39000,RFS305136,0
Arkam Inc,Limited-Service Restaurants,7404 Nieman Rd,Shawnee,Johnson,KS,66203,34916,42000,RFS428487,0
Arkam Inc,Limited-Service Restaurants,8397 Melrose Dr,Overland Park,Johnson,KS,66214,18577,30000,RFS437319,0
Armando's Mexican Grill,Full-Service Restaurants,117 E Ross St,Clearwater,Sedgwick,KS,67026,2879,23744,RFS51034,0
Army & Air Force Exchange Service,Limited-Service Restaurants,111 Reynolds Ave,Fort Leavenworth,Leavenworth,KS,66027,49880,60000,RFS295720,0
Army & Air Force Exchange Service,Limited-Service Restaurants,330 Kansas Ave,Fort Leavenworth,Leavenworth,KS,66027,34916,42000,RFS374128,0
Around The Corner,Full-Service Restaurants,102 S Washington Ave,Iola,Allen,KS,66749,5518,5518,RFS32888,0
Artistic Options Catering,Caterers,2345 S Grove St,Wichita,Sedgwick,KS,67211,11155,23744,RFS9696,0
Asa Restaurant LLC,Full-Service Restaurants,10229 Millstone Dr # 3307,Lenexa,Johnson,KS,66220,12314,54272,RFS33434,0
Ashner Family L.P.,Full-Service Restaurants,3612 W 141st St,Leawood,Johnson,KS,66224,6769,30528,RFS175553,0
Asia One,Full-Service Restaurants,8017 E Clay St,Wichita,Sedgwick,KS,67207,5688,27136,RFS260060,0
Asian Breeze LLC,Full-Service Restaurants,6010 Nieman Rd,Shawnee,Johnson,KS,66203,6430,23744,RFS228841,0
Asian Cafe,Full-Service Restaurants,2135 SW Gage Blvd,Topeka,Shawnee,KS,66614,55200,67840,RFS119592,0
Asian Palace,Full-Service Restaurants,7948 W 151st St,Overland Park,Johnson,KS,66223,13235,27136,RFS258362,0
Atchison Fried Chicken,Limited-Service Restaurants,405 Utah Ave,Atchison,Atchison,KS,66002,11049,30000,RFS387394,0
Athens Custard Operations LLC,Limited-Service Restaurants,621 Westport Blvd,Salina,Saline,KS,67401,68247,141000,RFS416607,0
Atlantic Development Corp of Pennsylvania Inc,Limited-Service Restaurants,1445 N Rock Rd Ste 200,Wichita,Sedgwick,KS,67206,54868,623700,RFS316317,0
Atqi Partners LLC 1,Limited-Service Restaurants,2000 W 31st St Ste A,Lawrence,Douglas,KS,66046,4988,9900,RFS337990,0
Au' Dean's Den,Full-Service Restaurants,113 E Spring Ave,Conway Springs,Sumner,KS,67031,2469,13568,RFS47021,0
Aungkabar Sushi LLC,Full-Service Restaurants,8900 W 93rd St,Overland Park,Johnson,KS,66212,2879,2879,RFS270883,0
Aunt Netters LLC,Full-Service Restaurants,511 E 7th St,Lecompton,Shawnee,KS,66050,16654,37312,RFS212165,0
Auntie Em's Deli & Bakery Inc,Limited-Service Restaurants,2311 Wakarusa Dr Ste D,Lawrence,Douglas,KS,66047,6724,33000,RFS350174,0
Auntie M'S,Full-Service Restaurants,626 N Main St,Russell,Russell,KS,67665,14700,33920,RFS234156,0
Aurora Shaved Ice L.L.C.,Limited-Service Restaurants,8650 E US Highway 24,Manhattan,Riley,KS,66502,4965,24000,RFS439219,0
Austin Taco LLC,Full-Service Restaurants,7700 E Polo Dr,Wichita,Sedgwick,KS,67206,59694,150000,RFS255676,0
AVI Sea Bar Chophouse,Full-Service Restaurants,135 N Waco St,Wichita,Sedgwick,KS,67202,11529,11529,RFS68796,0
Aztec Foods Inc,Full-Service Restaurants,8615 W 95th St,Shawnee Mission,Johnson,KS,66212,55200,67840,RFS268387,0
B K111888,Full-Service Restaurants,11919 S Strang Line Rd,Olathe,Johnson,KS,66062,2879,23744,RFS53069,0
B Rose Inc.,Limited-Service Restaurants,310 N Cottonwood St,Iola,Allen,KS,66749,3960,39000,RFS369376,0
Baan Thai Restaurant,Full-Service Restaurants,1709 Fort Riley Blvd,Manhattan,Riley,KS,66502,9588,40704,RFS94030,0
Back Door Pizza,Limited-Service Restaurants,120 W Union St,Rush Center,Rush,KS,67575,18685,39000,RFS301843,0
Backfire Barbeque,Full-Service Restaurants,10220 W 87th St,Overland Park,Johnson,KS,66212,6985,30528,RFS33392,0
Backyard Bbq L.L.C.,Full-Service Restaurants,515 Arthur St,Clay Center,Clay,KS,67432,2879,23744,RFS213102,0
Backyard Wood X-Pressions,Full-Service Restaurants,515 W Parallel St,Conway Springs,Sumner,KS,67031,9141,23744,RFS213287,0
Bai Pho Thai Massage LLC,Full-Service Restaurants,1218 S 4th St,Leavenworth,Leavenworth,KS,66048,12300,27136,RFS56958,0
Ball Conference Center,Caterers,21350 W 153rd St,Olathe,Johnson,KS,66061,3067,3067,RFS8687,0
Bam Catering LLC,Caterers,13609 W 75th CT,Shawnee,Johnson,KS,66216,9289,16960,RFS4056,0
Bamboo,Full-Service Restaurants,100 E Forest Ave,Girard,Crawford,KS,66743,14728,37312,RFS27916,0
Bamboo Buffet,Full-Service Restaurants,2304 Stagg Hill Rd,Manhattan,Riley,KS,66502,19271,44096,RFS128467,0
Bamboo Pittsburg,Full-Service Restaurants,808 N Broadway St,Pittsburg,Crawford,KS,66762,2879,23744,RFS261084,0
Bamboo Restaurants LLC,Full-Service Restaurants,724 E 520th Ave,Pittsburg,Crawford,KS,66762,12051,30528,RFS249784,0
Banana Bakery & Ice Cream Inc,Limited-Service Restaurants,14726 E 9th St N,Wichita,Sedgwick,KS,67230,4613,24000,RFS317443,0
Bangkok Pavilion Restaurant,Full-Service Restaurants,7249 W 97th St,Overland Park,Johnson,KS,66212,1644,3392,RFS249899,0
Banh MI To Go LLC,Full-Service Restaurants,2430 S Laurel St,Wichita,Sedgwick,KS,67210,3021,13568,RFS134172,0
Banh Thai Restaurant,Full-Service Restaurants,6249 E 21st St N Ste 123,Wichita,Sedgwick,KS,67208,14342,30528,RFS233885,0
Banner of Beloit Inc,Full-Service Restaurants,720 N Bell St,Beloit,Mitchell,KS,67420,23732,23732,RFS249032,0
Bar- B Vintage -Que LLC,Full-Service Restaurants,12200 Johnson Dr,Shawnee,Johnson,KS,66216,6049,30528,RFS57357,0
Barb Mac II Inc,Limited-Service Restaurants,9401 Foster St,Shawnee Mission,Johnson,KS,66212,36550,120000,RFS445012,0
Barley's Brewhaus,Full-Service Restaurants,16649 Midland Dr,Shawnee Mission,Johnson,KS,66217,24840,33727,RFS91407,0
Barn Grill,Limited-Service Restaurants,530 Wisconsin St,Lawrence,Douglas,KS,66044,18475,36000,RFS405768,0
Barney Hall,Caterers,2030 E College Way,Olathe,Johnson,KS,66062,11229,135680,RFS8074,0
Barnhouse Cafe,Full-Service Restaurants,629 N Main St,Le Roy,Coffey,KS,66857,2879,23744,RFS234513,0
Barolo Grille LP,Limited-Service Restaurants,110 S Santa Fe Ave,Salina,Saline,KS,67401,13069,27000,RFS294399,0
