Year,Naics,State,prepared,excess_high_lbs,excess_low_lbs
2018,Caterers,AK,313,764348,298453
2018,Caterers,AL,2385,5080187,2268033
2018,Caterers,AR,1419,2369076,1060134
2018,Caterers,AZ,6757,11087986,4290133
2018,Caterers,CA,18510824,88978698,46515199
2018,Caterers,CO,7508,11389335,5244687
2018,Caterers,CT,2429880,10472682,5134245
2018,Caterers,DE,595,1756967,632715
2018,Caterers,FL,17996,66639819,28071934
2018,Caterers,GA,9693,25295019,8775003
2018,Caterers,HI,1934,4599795,2778078
2018,Caterers,IA,1549,5565514,1740769
2018,Caterers,ID,788,1465648,550027
2018,Caterers,IL,28433,28176421,14767870
2018,Caterers,IN,8231,9785798,3999187
2018,Caterers,KS,1821,3440670,1672872
2018,Caterers,KY,3534,19739785,4556551
2018,Caterers,LA,5699,18655108,7460052
2018,Caterers,MA,5522455,14555882,7964528
2018,Caterers,MD,3621392,15485158,7090650
2018,Caterers,ME,1534,1213492,585631
2018,Caterers,MI,18201,15610805,6566685
2018,Caterers,MN,8421,10303788,4284078
2018,Caterers,MO,9399,10763513,4431143
2018,Caterers,MS,930,4026153,1918372
2018,Caterers,MT,559,1499369,629829
2018,Caterers,NC,7935,17922135,7809060
2018,Caterers,ND,323,1541410,506087
2018,Caterers,NE,1975,2955462,1354155
2018,Caterers,NH,1173,1988879,851516
2018,Caterers,NJ,6316796,27371777,13621748
2018,Caterers,NM,896,2590668,991919
2018,Caterers,NV,1881,5743028,3895677
2018,Caterers,NY,14466230,47169378,24306582
2018,Caterers,OH,15893,18088788,8714725
2018,Caterers,OK,3172,4937381,1552484
2018,Caterers,OR,1324646,7264647,3465731
2018,Caterers,PA,17673,27309995,11558788
2018,Caterers,RI,612862,2288991,1074809
2018,Caterers,SC,5331,6323908,2793712
2018,Caterers,SD,318,1156214,452682
2018,Caterers,TN,5362,12730781,6248932
2018,Caterers,TX,23242,54049016,20184856
2018,Caterers,UT,3873,3916346,1860778
2018,Caterers,VA,8604,20405160,7250538
2018,Caterers,VT,296762,1039430,516972
2018,Caterers,WA,2808457,9596357,4942706
2018,Caterers,WI,7446,7350705,2832271
2018,Caterers,WV,325,2471718,1304877
2018,Caterers,WY,448,364202,194408
2018,Full-Service Restaurants,AK,8135,17524658,7930288
2018,Full-Service Restaurants,AL,152881,114919066,55257916
2018,Full-Service Restaurants,AR,80392,57327297,27368723
2018,Full-Service Restaurants,AZ,207542,231204016,110959477
2018,Full-Service Restaurants,CA,14425699,1491779280,794580236
2018,Full-Service Restaurants,CO,182619,195507751,103100674
2018,Full-Service Restaurants,CT,1229129,120343956,60474007
2018,Full-Service Restaurants,DE,30547,31002852,15679448
2018,Full-Service Restaurants,FL,839494,1091889938,545086763
2018,Full-Service Restaurants,GA,365986,328385069,161709183
2018,Full-Service Restaurants,HI,34010,47021028,26033493
2018,Full-Service Restaurants,IA,60902,72193464,33206640
2018,Full-Service Restaurants,ID,32633,44499435,22406502
2018,Full-Service Restaurants,IL,308337,457530753,172110037
2018,Full-Service Restaurants,IN,191292,179232020,92210621
2018,Full-Service Restaurants,KS,80571,69447305,31150086
2018,Full-Service Restaurants,KY,150996,124588267,52728895
2018,Full-Service Restaurants,LA,93715,141610876,70263704
2018,Full-Service Restaurants,MA,3044997,225664512,128226200
2018,Full-Service Restaurants,MD,2990683,180724719,100684668
2018,Full-Service Restaurants,ME,24114,32779303,17802552
2018,Full-Service Restaurants,MI,209765,221672537,108875859
2018,Full-Service Restaurants,MN,116837,230070334,82800974
2018,Full-Service Restaurants,MO,169286,144680428,72769743
2018,Full-Service Restaurants,MS,67371,63254949,29759780
2018,Full-Service Restaurants,MT,21107,26322278,13536977
2018,Full-Service Restaurants,NC,288082,308233980,139881415
2018,Full-Service Restaurants,ND,25338,16562681,8094718
2018,Full-Service Restaurants,NE,44103,45284162,21322996
2018,Full-Service Restaurants,NH,38173,36300358,17670294
2018,Full-Service Restaurants,NJ,3427139,270200753,137190094
2018,Full-Service Restaurants,NM,58889,64272620,34369453
2018,Full-Service Restaurants,NV,100208,88667002,47630073
2018,Full-Service Restaurants,NY,5121893,655536002,349778872
2018,Full-Service Restaurants,OH,380057,316165971,160219719
2018,Full-Service Restaurants,OK,133639,97897029,47456845
