State,Excess_Food_Low_Tons,Excess_Food_High_Tons,avg_excess_food,Tons_Beverages_Don,lbs_bev_don,Tons_Bread_Don,lbs_bread_don,Tons_Dairy_Eggs_Don,lbs_dairy_eggs,Tons_Dry_Don,lbs_dry_don,Tons_Frozen_Don,lbs_frozen_don,Tons_Meat_Don,lbs_meat_don,Tons_Prepared_Don,lbs_prepared_don,Tons_Produce_Don,lbs_produce_don,households_avg_21_23,food_insecurity_percent,very_low_food_security_percent,pop2020,pop2021,pop2022,pop2023,FoodBank_recd_TonYear,lbs_foodbank_recd,foodbanks
AK,"10,398","22,610","16,504","2,513","5,026,000","2,747","5,494,000","2,936","5,872,000","3,580",7160000,683,"1,366,000","3,073","6,146,000","3,873","7,746,000","9,140","18,280,000","279,000",10.4,5.3,"732,964","734,923","733,276","733,406","4,399",8798000,5
AL,"78,000","211,009","144,505","18,175","36,350,000","14,233","28,466,000","18,605","37,210,000","25,913",51826000,"4,965","9,930,000","29,328","58,656,000","16,611","33,222,000","45,209","90,418,000","2,090,000",11.5,4.4,"5,031,864","5,050,380","5,073,903","5,108,468","19,443",38886000,9
AR,"44,088","97,686","70,887","10,043","20,086,000","10,064","20,128,000","14,187","28,374,000","18,198",36396000,"3,448","6,896,000","15,006","30,012,000","9,575","19,150,000","25,014","50,028,000","1,283,000",18.9,6.7,"3,014,348","3,028,443","3,046,404","3,067,732","20,054",40108000,6
AZ,"138,051","282,787","210,419","24,382","48,764,000","31,591","63,182,000","34,450","68,900,000","35,177",70354000,"7,022","14,044,000","42,072","84,144,000","29,369","58,738,000","105,923","211,846,000","2,962,000",11.8,4.7,"7,186,683","7,272,487","7,365,684","7,431,344","32,768",65536000,5
CA,"851,346","1,795,269","1,323,308","107,389","214,778,000","123,590","247,180,000","120,639","241,278,000","131,331",262662000,"24,619","49,238,000","161,322","322,644,000","234,456","468,912,000","482,465","964,930,000","14,040,000",11.4,4.1,"39,503,200","39,145,060","39,040,616","38,965,193","119,442",238884000,35
CO,"123,792","236,526","180,159","18,636","37,272,000","27,040","54,080,000","28,070","56,140,000","29,769",59538000,"5,748","11,496,000","30,922","61,844,000","26,079","52,158,000","88,833","177,666,000","2,403,000",9.9,3.4,"5,785,219","5,811,596","5,841,039","5,877,610","46,438",92876000,5
CT,"98,105","192,435","145,270","13,678","27,356,000","13,276","26,552,000","14,744","29,488,000","18,028",36056000,"3,439","6,878,000","19,230","38,460,000","27,056","54,112,000","54,829","109,658,000","1,445,000",10.4,4.4,"3,577,586","3,603,691","3,608,706","3,617,176","20,237",40474000,4
DC,"17,324","29,488","23,406",,0,,0,,0,,0,,0,,0,,0,,0,"332,000",8.8,3.8,"670,839","669,037","670,949","678,972","20,938",41876000,1
DE,"19,411","37,667","28,539","4,359","8,718,000","3,557","7,114,000","4,144","8,288,000","5,422",10844000,"1,108","2,216,000","5,524","11,048,000","3,855","7,710,000","11,344","22,688,000","405,000",11.3,4,"991,862","1,004,881","1,019,459","1,031,890","3,352",6704000,1
FL,"634,070","1,609,049","1,121,560","97,111","194,222,000","76,730","153,460,000","93,499","186,998,000","116,010",232020000,"22,182","44,364,000","122,627","245,254,000","106,779","213,558,000","277,589","555,178,000","9,254,000",12,4.4,"21,591,299","21,830,708","22,245,521","22,610,726","91,867",183734000,15
GA,"198,435","438,435","318,435","37,856","75,712,000","31,745","63,490,000","40,044","80,088,000","52,646",105292000,"10,219","20,438,000","55,792","111,584,000","38,203","76,406,000","110,559","221,118,000","4,278,000",12.8,5.1,"10,732,390","10,790,385","10,913,150","11,029,227","49,395",98790000,8
HI,"27,422","56,655","42,039","3,441","6,882,000","1,952","3,904,000","2,379","4,758,000","4,208",8416000,683,"1,366,000","2,696","5,392,000","2,684","5,368,000","12,868","25,736,000","496,000",9.6,3.6,"1,451,181","1,446,745","1,439,399","1,435,138","9,688",19376000,3
IA,"78,974","251,088","165,031","9,191","18,382,000","11,609","23,218,000","15,853","31,706,000","17,386",34772000,"3,455","6,910,000","13,325","26,650,000","11,977","23,954,000","28,347","56,694,000","1,356,000",9.8,3.2,"3,190,904","3,197,944","3,199,693","3,207,004","15,370",30740000,7
ID,"28,423","365,639","197,031","3,604","7,208,000","5,947","11,894,000","6,913","13,826,000","6,858",13716000,"1,265","2,530,000","4,773","9,546,000","4,708","9,416,000","15,430","30,860,000","750,000",11.3,4.4,"1,849,339","1,904,537","1,938,996","1,964,726","8,042",16084000,1
IL,"233,658","947,413","590,536","37,963","75,926,000","42,357","84,714,000","46,861","93,722,000","52,136",104272000,"10,715","21,430,000","57,835","115,670,000","50,105","100,210,000","139,790","279,580,000","5,098,000",12.4,4.7,"12,790,357","12,690,341","12,582,515","12,549,689","75,930",151860000,6
IN,"116,863","244,668","180,766","22,127","44,254,000","27,090","54,180,000","33,245","66,490,000","36,082",72164000,"7,565","15,130,000","34,461","68,922,000","25,513","51,026,000","77,947","155,894,000","2,809,000",12.2,5.3,"6,789,098","6,813,798","6,832,274","6,862,199","31,488",62976000,10
KS,"98,352","176,143","137,248","7,948","15,896,000","11,479","22,958,000","13,307","26,614,000","15,554",31108000,"2,942","5,884,000","17,185","34,370,000","11,491","22,982,000","35,382","70,764,000","1,159,000",10.6,3.9,"2,938,124","2,937,946","2,936,716","2,940,546","6,792",13584000,2
